Date,low_beta_new,momentum_new,quality_new,Equity Momentum,Equity Low Beta,Equity Quality,Commodity Carry,Commodity Curve,Credit Curve,Credit Carry,FX Carry,FX Value,Interest Rate Spread,Interest Rate Curve,Equity Trend,FX Trend,Commodity Trend,Interest Rate Trend,Commodity Volatility Carry,Interest Rate Volatility Carry,Equity Volatility Carry,COT,Merger Arb
04/03/2009,79.74,81.07,77.48,93.66,86.17,107.36,265.0819,201.5772,90.5049,75.7848,264.7281,114.0149,104.7499,120.4387,106.6671,245.0576,229.1807,158.4467,134.4518,110.2488,62.46,110.75,1000
05/03/2009,79.6,81.3,77.38,93.72,86.23,107.34,267.4211,202.0183,89.9596,76.1307,265.1884,114.0318,104.8623,119.9296,107.3121,245.476,231.7692,158.3833,134.5519,110.1305,62.13,110.7567,999.9841211
06/03/2009,79.79,81.29,77.64,93.62,86.25,107.38,268.7132,202.262,90.515,75.9105,264.9477,114.1003,104.8671,119.3853,107.5608,245.1545,229.9324,158.1042,135.2352,110.6846,62.09,110.8071,1000.112154
09/03/2009,79.02,81.6,77.66,93.73,85.81,107.24,267.2764,201.8217,90.46,76.3292,265.8823,113.9376,104.7549,119.1976,107.8028,245.0929,228.8292,157.6483,136.6158,111.1952,62.06,110.7275,999.94784
10/03/2009,78.72,81.42,77.82,93.74,85.55,107.23,267.3573,202.5735,90.6275,76.5623,265.6316,114.0036,104.6506,118.9702,106.6567,244.1228,226.1376,157.9864,137.8402,111.6264,62.04,110.8413,1000.70274
11/03/2009,78.39,81.03,78.32,93.5,85.44,107.41,270.7064,202.8495,90.408,76.4543,266.1711,114.2784,104.614,118.914,106.342,243.0395,231.1578,158.1162,137.4041,111.9606,61.9,110.71,1000.609521
12/03/2009,78.6,81.48,77.91,93.57,85.37,107.44,265.879,202.4238,90.3206,76.6581,266.9019,114.3305,104.676,119.1302,106.0086,242.2609,230.4178,158.2209,135.8628,111.7109,61.76,110.734,1002.448927
13/03/2009,78.68,81.47,77.91,93.6,85.52,107.57,266.8122,202.4481,90.4813,76.445,266.5712,114.7063,104.6473,119.5986,105.5718,240.8736,230.6411,158.0923,136.0494,111.8859,61.67,110.8575,1002.565948
16/03/2009,79.16,80.95,77.69,93.48,85.6,107.4,268.4851,202.5467,90.7926,75.8976,266.0764,115.1549,104.5757,119.9043,105.1584,239.3887,229.2582,158.0002,136.6912,112.387,61.73,111.0724,1002.29708
17/03/2009,78.99,81.5,77.85,93.69,85.57,107.51,266.6099,202.6906,90.4571,75.8964,265.9824,115.3929,104.4434,119.7418,104.9698,238.7861,226.4016,157.9923,136.9407,111.6102,61.94,111.0574,1003.176625
18/03/2009,78.53,81.28,77.48,93.56,85.37,107.48,265.639,203.2748,90.3894,75.5799,265.4218,115.529,104.4889,120.6257,104.8243,238.4114,228.2072,158.6521,137.8044,105.907,61.87,111.1787,1003.650639
19/03/2009,78.26,80.73,77.74,93.48,85.38,107.8,264.8373,202.9516,90.7182,75.4561,262.0859,116.117,104.5281,119.5598,104.6658,236.0685,226.6161,159.1562,133.4868,108.1997,61.46,110.8195,1002.694815
20/03/2009,78.23,80.67,77.91,93.43,85.47,107.81,265.0885,203.2395,89.988,74.8885,264.4878,115.8719,104.5618,119.7594,104.7534,236.4293,225.3885,159.4778,134.4761,108.6614,61.24,110.8273,1002.501511
23/03/2009,77.97,80.56,78,93.25,85.27,107.98,262.6281,203.666,90.0966,74.7897,264.2682,116.2777,104.581,119.8187,103.6288,236.3102,221.8848,159.3133,135.3341,108.7446,60.63,110.6415,1003.483115
24/03/2009,78.26,79.64,77.92,92.93,85.54,107.87,261.2915,203.7393,90.5953,74.6849,265.7959,116.1532,104.518,119.6354,103.687,236.1326,221.3074,158.8858,136.0337,108.71,60.66,110.6399,1002.611553
25/03/2009,78.38,79.67,78.01,92.95,85.64,107.88,263.273,204.0175,90.6825,74.721,265.2125,116.0006,104.502,119.4926,103.4984,236.808,222.759,158.8791,136.6921,107.9315,60.95,110.6238,1003.599931
26/03/2009,78.33,79.44,78,92.95,85.61,107.89,264.4383,204.4575,90.598,74.6922,265.3398,116.2939,104.4954,119.6342,103.0824,236.1494,222.347,158.8437,136.405,108.6708,61.07,110.5784,1004.082453
27/03/2009,78.3,79.23,78.09,92.97,85.6,107.88,265.8071,205.1437,90.5017,74.7854,265.9192,116.3672,104.5579,119.7749,103.4583,236.2309,224.2626,159.5201,136.1683,109.4976,60.93,110.6629,1003.431132
30/03/2009,79,79.74,78.12,93.3,85.82,107.83,268.111,205.2734,90.2793,74.5597,265.4351,116.268,104.6582,119.9183,104.5446,237.8196,227.1014,159.9508,135.9836,109.5487,60.14,110.9236,1003.323645
31/03/2009,79,80.02,78.39,93.37,85.73,107.73,268.881,204.8806,90.3514,74.5408,266.5873,116.4058,104.6584,119.9732,103.9937,237.3214,228.018,160.3256,136.4006,109.7603,60.31,111.108,1003.496605
01/04/2009,78.74,79.93,78.12,93.37,85.67,107.61,270.4632,204.8193,90.2523,74.6287,266.9098,116.5204,104.6577,119.8457,103.6136,236.6273,229.3981,160.5662,137.1816,110.0471,60.63,111.1695,1004.020644
02/04/2009,78.67,79.41,78.45,93.22,85.65,107.85,267.454,204.7541,90.4848,74.8479,266.5045,116.5743,104.5098,119.5304,102.32,235.153,224.5197,159.4464,135.4095,110.0636,59.58,110.9014,1003.603689
03/04/2009,78.07,78.94,78.47,93.12,85.5,107.97,269.6067,205.0525,90.4918,74.7651,267.4292,116.7483,104.2482,119.3849,102.3419,234.4592,223.4014,158.5452,136.4712,108.8107,60.23,111.0835,1003.558536
06/04/2009,78.28,79.05,78.2,93.3,85.56,107.99,268.2747,205.587,90.4903,74.6051,267.9349,116.9681,104.1241,119.6131,102.4895,233.1999,222.1302,158.4597,137.9745,108.9647,60.69,110.9654,1003.282477
07/04/2009,78.62,79.1,78.11,93.27,85.61,107.84,271.7757,206.3967,90.3627,74.2724,268.4671,116.7818,104.1522,119.743,102.748,234.2954,224.3127,158.8741,138.5194,109.3989,60.95,111.1531,1003.133948
08/04/2009,78.66,78.76,78.25,93.17,85.58,107.7,270.7323,206.262,90.4652,74.2545,269.4795,116.2755,104.1693,119.7007,102.6885,235.714,223.1871,159.0059,139.6612,109.3575,61.47,111.2566,1003.048245
09/04/2009,78.01,78.38,78.54,93.07,85.3,107.93,270.2048,206.0929,90.5761,75.0914,270.2989,116.535,104.1739,120.1326,102.1055,234.5584,221.6141,159.0677,140.513,109.48,61.14,111.1177,1003.404734
10/04/2009,78.02,78.23,78.53,93.04,85.33,107.97,270.2048,206.0929,90.5761,75.0914,270.2989,116.535,104.1739,120.1326,102.0736,234.5584,221.6141,159.0677,140.513,109.48,61.14,111.1177,1003.404734
13/04/2009,77.67,78.06,78.27,93.04,85.25,107.83,272.5725,205.9142,90.5761,75.0914,270.2989,116.535,104.1739,120.1326,102.0558,234.5584,223.9295,159.0677,141.5859,109.6495,61.14,111.2525,1003.681339
14/04/2009,77.64,77.62,78.4,92.99,85.23,108.19,274.8566,205.9884,90.5716,75.3348,270.449,116.4945,104.2871,120.4053,101.8541,233.8462,220.6593,159.5409,142.3627,109.6712,61.63,111.2651,1003.287164
15/04/2009,77.66,77.6,78.43,92.9,85.19,108.06,277.6878,206.0287,90.6428,75.5349,270.9652,116.4281,104.3183,120.4887,101.8896,233.6275,219.7918,159.7312,143.102,109.7745,61.98,111.2353,1004.139537
16/04/2009,77.87,77.06,78.51,92.72,85.17,108.22,275.3914,206.0844,90.6669,75.8386,272.5043,116.6261,104.2597,120.346,101.5983,234.4641,219.5349,159.5875,143.8293,109.8764,62.31,111.1676,1003.710993
17/04/2009,77.59,76.83,78.38,92.56,85.07,108.08,274.6358,205.6905,90.7001,76.0183,272.8606,116.6614,104.1115,120.1466,101.4392,235.023,217.8306,158.7299,144.7381,109.0251,62.8,111.0607,1004.10027
20/04/2009,78,76.93,78.25,92.66,85.4,108.07,277.8207,205.8802,90.361,75.576,273.2552,116.5898,104.213,120.2069,102.0272,235.5947,223.0794,159.0972,143.7153,109.3604,61.73,111.1632,1003.663103
21/04/2009,78.05,76.92,78.42,92.61,85.22,108.04,277.3137,205.7914,90.5063,75.3408,271.8108,116.8558,104.2181,120.1091,102.0151,235.7946,224.5364,158.8401,144.171,109.2722,62.11,110.9861,1003.566027
