Date,BNPIESTV,BNPIEMTV,BNPIRPEE,BNPIRPUE,BNPIRPLE,BNPIRPJE,BNPIRPHE,BNPIRPHE Index,BNPIV1EE,BNPIV1UE,BNPIFU10,BNPIFU30,BNPXSPPE,BNPI1X4E,BNPXCFHE,BNPIVOLA,BNPIFXMG,BPMMMTWU,BNPINMXA,BNPITMXA,BNPXCRME,BNPXCRMU,BNPIPQEE,BNPIPQUE,BNPIPRX3,BNPIDRXA,BPFXSTGU,BNPITIEG,BNPICCUE,BNPICCEE
03/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.6684,73.1155,0,0,0,0,99.0331,0,0,159.0465,0,0,0,0,0,0,0,0,0,0
04/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,73.0386,73.7257,0,0,0,0,98.4085,0,0,158.8774,0,0,0,0,0,0,103.1024,0,0,0
05/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.5132,72.963,0,0,0,0,98.3086,0,0,158.4803,0,0,0,0,0,0,103.2053,0,0,0
06/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.764,73.5477,0,0,0,0,98.2101,0,0,158.4408,0,0,0,0,0,0,103.3509,0,0,0
07/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,73.0506,73.9799,0,0,0,0,98.4429,0,0,157.9697,0,0,0,0,0,0,103.3732,0,0,0
10/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.8715,73.6748,0,0,0,0,98.578,0,0,158.2159,0,0,0,0,0,0,103.3669,0,0,0
11/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.2743,72.8867,0,0,0,0,98.3991,0,0,159.0433,0,0,0,0,0,0,103.4138,0,0,0
12/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.143,72.7342,0,0,0,0,98.4738,0,0,159.6362,0,0,0,0,0,0,103.4254,0,0,0
13/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.6207,73.446,0,0,0,0,98.3397,0,0,159.7957,0,0,0,0,0,0,103.4513,0,0,0
14/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.3102,73.0138,0,0,0,0,98.8366,0,0,160.997,0,0,0,0,0,0,103.4813,0,0,0
17/01/2000,0,0,0,0,0,0,0,#N/A N/A,0,0,72.3102,73.0138,0,0,0,0,98.9592,0,0,160.997,0,0,0,0,0,0,103.4813,0,0,0
